Nitrogen,Phosphorus,Potassium,Soil Temperature,Moisture,pH,Humidity,Air Temperature,Crop
36,61,21,27.54,67,6.03,39.04,32.53,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
17,73,18,25.5,73,7.13,34.51,28.82,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
26,72,22,25.77,66,7.16,37.58,29.96,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
17,64,16,25.98,80,5.7,32.25,26.61,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
14,74,19,25.4,76,6.06,36.83,30.93,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
39,60,15,25.09,57,7.16,30.99,30.29,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
6,66,15,25.93,51,5.79,30.4,28.22,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
8,59,18,27.51,47,6.05,35.72,28.32,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
2,67,18,27.52,48,6.79,47.53,29.4,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
1,76,17,27.43,92,6.04,52.1,28.26,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
16,73,19,27.42,84,6.89,34.81,29.85,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
23,75,25,37.08,92,5.59,47.2,27.27,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
32,70,20,27.89,95,7.17,46.25,26.53,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
28,59,22,26.91,98,6.18,52.8,31.4,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
5,62,23,27.93,100,6.91,66.45,31.26,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
36,67,25,25.95,100,7.15,36.53,30.44,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
1,66,23,26.54,104,7.14,56.93,28.55,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
24,73,20,26.64,99,7.18,32.32,26.79,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
17,67,18,26.22,99,6.92,56.47,26.46,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
5,55,18,26.51,77,5.65,45.71,31.49,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
5,56,24,24.81,100,6.24,45.01,28.54,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
37,77,17,27.21,96,7.69,31.95,30.76,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
13,73,20,27.5,80,6.13,35.49,30.63,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
6,63,23,26.02,72,7.19,49.95,31.73,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
16,77,22,27.48,83,5.72,35.64,30.61,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
25,64,20,27.15,48,6.64,32.46,30.22,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
34,75,24,23.5,73,6.11,51.29,30.4,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
20,77,23,34.87,93,7.15,38.84,31.82,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
35,80,25,27.09,87,6.74,44.93,29.02,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
14,75,24,24.55,61,7.14,57.34,28.39,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
36,80,21,27.65,88,6.4,48.41,28.07,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
7,77,18,20.56,58,7.11,60.55,28.4,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
29,78,25,26.96,69,7.14,59.33,29.63,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
30,60,21,27.88,81,6.45,62.49,27.78,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
20,74,16,27.04,98,6.14,43.61,28.74,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
19,57,23,23.67,62,7.14,47.29,29.78,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
3,60,19,25.75,95,7.18,40.72,28.39,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
5,77,19,27.09,100,7.14,66.69,31.3,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
5,68,20,26.73,96,5.58,61.33,31.36,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
37,73,21,29.5,95,6.02,63.47,26.52,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
9,59,24,20.44,96,6.12,39.37,31.38,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
20,72,15,27,81,7.13,56.01,30.44,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
31,56,23,27.47,92,5.86,35.39,32.69,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
0,70,21,27.3,87,6.99,56.03,27.23,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
21,74,15,27.49,82,6.98,67.11,30.55,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
13,67,18,26.58,33,7.16,34.76,31.36,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
27,74,20,24.69,24,5.89,59.97,28.93,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
29,72,24,23.17,25,7.18,36.68,28.5,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
5,68,20,19.04,54,5.78,33.11,28.37,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
39,57,19,27.32,33,6.86,45.93,31.3,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
22,62,16,27.65,75,7.09,54.32,28.24,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
18,55,23,22,50,7.11,56.31,28.54,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
39,77,21,23,83,6.34,60.24,27.62,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
13,75,20,26.56,80,7.17,35.29,31.51,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
27,71,24,26.46,69,5.85,48.18,27.86,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
26,64,22,25.95,33,7.87,40.58,29.21,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
23,55,16,21.01,74,5.92,69.69,28.08,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
4,69,19,26.25,83,7.19,47.7,26.27,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
20,67,19,26.24,49,7.11,50.54,27.23,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
7,74,17,22.47,50,6.12,62.57,32.24,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
17,64,18,26.75,50,5.99,58.26,32.71,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
35,71,17,27.89,49,6.52,66.35,26.08,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
11,72,22,27.38,68,6.19,44.82,30.82,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
20,60,22,27.65,63,6.53,42.9,27.61,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
10,71,18,27.54,85,6.64,66.35,27.89,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
33,61,24,20.05,72,7.18,48.94,29.26,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
3,49,18,27.01,65,6.84,64.71,29.03,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
22,59,23,27.32,71,5.9,51.28,27.83,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
36,58,25,28.66,64,6.32,59.32,28.75,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
4,43,18,29.03,53,5.85,61.09,27.41,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
29,54,16,27.78,56,7.02,54.65,28.62,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
32,43,22,27,58,7.18,54.11,29.22,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
14,55,15,27.34,80.36,7.13,55.28,30.26,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
5,35,20,28.93,79,6.5,53.57,31.1,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
25,57,24,27.65,85,6.35,58.6,31.38,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
11,53,24,28.52,89,6.65,55.77,31.84,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
40,49,17,27.02,36,6.22,45.89,27.3,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
38,56,25,25.74,55,6.68,45.38,27.26,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
27,43,23,27.7,65,5.69,56.85,30.16,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
24,38,22,24.48,76,5.64,58.52,30.8,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
23,45,21,31.47,50,5.58,51.8,27.95,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
29,57,20,25.61,81,7.11,50.73,28.82,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
31,35,23,27.3,74,7.11,47.18,29.53,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
0,55,25,27.17,58,7.11,43.67,29.99,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
7,45,22,25.51,36,7.17,44.83,29.32,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
17,58,25,27.13,62,7.11,43.59,32.54,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
11,44,17,26.34,97,6.73,55.59,27.32,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
22,49,22,27.23,64,7.01,61.56,32.29,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
9,51,19,27.04,62,5.77,49.33,29.81,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
28,48,15,25.16,68,7.1,55.25,32.12,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
26,50,19,27.32,49,7.04,51.67,28.29,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
36,56,20,25.41,70,5.86,49.66,31.51,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
8,60,18,27.22,91,6.3,46.02,30.02,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
24,37,21,27.57,35,6.09,58.23,29.76,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
22,43,24,25.43,72,7.04,53.22,27.45,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
36,43,24,27.09,96,7.09,43.65,26.03,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
22,44,24,24.31,98,6.94,56.33,28.2,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
17,43,22,30.06,90,7.1,45.9,27.95,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
8,45,15,28.1,87,6.99,60.98,29.44,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
7,56,23,26.34,91,7.1,40.01,31.36,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
36,57,16,27.61,93,6.61,57.14,32.54,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
11,45,19,28.7,85,6.07,44.36,29.64,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
6,36,22,24.22,84,6.82,59.79,32.6,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
17,57,20,27.51,90,6.53,45.2,31.86,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
4,47,20,25.98,86,7.06,64.96,27.91,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
9,49,16,27.88,93,7.06,41.37,29.03,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
25,51,24,25.5,91,7.15,61.67,26.83,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
36,44,21,25.13,80,6.67,51.33,32.73,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
21,38,20,27.11,87,7.02,63.57,28.11,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
37,57,20,27.1,88,7.13,44.82,30.74,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
32,48,18,26.46,95,7.09,56.4,32.64,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
29,44,20,27.04,96,5.76,63.56,26.82,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
25,51,18,27.78,97,5.99,54.82,28.66,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
10,44,24,26.99,94,6.86,43.02,27,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
23,35,18,26.49,98,6.94,47.37,31.98,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
9,60,23,26.97,94,5.89,57.17,30.6,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
3,58,21,25.36,87,7.05,46.83,31.63,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
22,42,22,25.54,95,5.57,56.97,32.02,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
12,39,21,26.99,87,5.75,62.86,31.52,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
39,36,22,27.34,95,6.71,60.5,26.55,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
32,41,16,26.64,89,5.79,61.39,28.73,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
30,41,15,24.83,86,6.46,44.17,28.86,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
19,36,22,25.45,85,5.52,58.55,28.51,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
4,46,15,25.01,94,5.74,62.4,28.61,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
21,39,20,27.06,93,7.09,52.3,27.86,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
35,57,25,27.1,87,6.17,42.26,26.09,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
22,55,24,26.57,92,5.64,57.31,29.46,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
35,51,17,26.8,90,6.2,49.84,29.1,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
17,56,17,27.94,93,7.03,45.41,29.9,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
28,57,17,27.48,89,5.7,61.58,32.64,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
22,36,16,27.58,86,6.97,50.77,29.8,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
11,41,19,26.86,96,5.54,41.81,27.07,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
38,38,18,26.31,91,6.37,61.19,31.65,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
23,37,24,26.78,81,6.62,44.23,32.69,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
25,35,20,26.9,82,7.03,43.35,31.29,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
40,45,20,27.38,91,5.59,57.7,32.45,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
23,58,19,24.17,97,5.85,58.25,29.59,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
2,56,23,26.65,93,6.51,59.79,26.48,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
3,56,17,27.2,94,5.83,53.51,31.97,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
26,51,25,26.76,94,6.82,52.63,30,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
39,42,20,27.35,94,6.27,61.25,28.14,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
27,59,20,27.01,95,6.58,52.61,30.25,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
24,45,19,26.86,97,7.15,48.82,30.58,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
7,40,17,27.21,93,7.13,40.93,28.25,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
15,45,23,24.2,91,5.81,61.43,29.03,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
26,52,23,26.99,86,6.85,49.6,27.3,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
20,45,16,26.94,86,7.04,54.62,30.19,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
34,54,24,27.21,89,6.49,41.56,30.21,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
19,51,25,26.8,78,7.04,48.24,26.82,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
29,41,21,27.49,87,7.01,62.85,27.03,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
20,50,22,27,83,7.05,46.43,26.15,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
11,40,23,27.61,78,6.91,63.05,29.53,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
15,54,15,26.98,87,6.99,57.03,29.36,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
35,55,22,26.89,83,6.92,52.63,28.18,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
9,59,25,27.39,85,7,60.16,27.48,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
40,45,18,27.44,88,6.32,55.21,32.24,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
35,38,19,27.33,79,6.26,63.18,32.65,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
14,58,17,27.54,77,7.03,59.97,30.8,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
40,55,18,27.38,81,7.04,40.59,27.02,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
18,36,23,24.02,80,5.94,53.77,28.88,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
35,52,15,28.7,78,7.07,61.15,30.87,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
4,59,22,29.34,79,7.17,49,26.65,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
22,51,16,27.97,85,6.35,61.35,26.33,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
33,47,17,24.87,89,6.04,48.28,29.39,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
2,51,17,25.88,88,6.03,45.96,27.97,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
16,51,21,37.02,94,7.16,49.98,29.35,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
19,55,20,27.43,86,7.06,87.81,26.75,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
8,54,20,27.33,89,6.95,80.77,32.21,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
36,55,20,27.01,81,6.84,84.34,31.33,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
10,56,16,27.17,81,5.96,81.05,30.05,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
22,56,17,27.88,70,6.68,87.33,32.48,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
9,57,24,27.89,70,6.8,89.72,30.44,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
34,59,23,27.56,71,7.03,83.25,32.74,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
31,51,25,27.54,64,7.07,85.57,28.2,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
0,49,18,27.68,68,5.89,87.94,30.79,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
21,39,20,27.14,68,6.18,82.12,28.4,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
28,35,22,27.53,65,5.61,86.73,30.92,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
17,52,17,27.88,70,7.05,86.45,30.64,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
24,42,23,27.22,64,6.59,82.36,30.53,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
28,46,16,27.01,70,6.99,84.96,28.05,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
21,38,21,27.76,65,7.04,86.45,28.1,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
34,60,25,27.78,62,6.51,85.17,29.6,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
19,53,22,27.86,76,6.59,80.45,28.25,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
31,58,15,27.11,79,7.06,84.97,26.91,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
19,35,24,27.11,80,7.04,83.64,27.31,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
24,53,17,27.95,60,6.05,89.08,28.03,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
13,47,20,27.22,87.9,6.17,87.94,31.29,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
31,53,16,27.74,94,7.05,85.82,29.57,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
28,45,23,27.65,96,5.52,80.3,32.14,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
31,37,21,27.24,97,5.83,86.4,27.75,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
33,60,15,27.95,98,5.73,81.67,31.71,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
34,45,21,27.19,99,7.58,82.61,30.67,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
13,57,25,27.3,94,5.87,86.21,28.6,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
33,57,17,27.9,91.1,5.7,88.72,27.51,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
32,57,22,27.69,94,5.54,87.5,27.82,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
23,59,25,27.83,92,6.46,88.73,32.38,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
35,41,18,27.71,86,7.02,81.59,30.31,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
6,48,24,27.64,94.5,7.06,84.61,28.98,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
29,36,25,27.29,94.5,7.04,88.44,27.39,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
4,36,22,27.61,93,6.77,86.13,28.96,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
10,59,22,27.61,94,7.01,86.99,32.54,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
14,48,21,27.25,93.12,6.5,84.8,27.28,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
8,50,21,27.63,92.72,6.92,89.11,32.73,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
20,40,15,27.57,90.1,7,88.08,31.82,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
36,43,22,27.83,90.1,6.31,87.17,31.76,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
14,57,15,27.88,94,5.73,83.15,32.11,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
11,60,23,27.34,92,7.05,88.5,29.66,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
10,59,15,27.83,86,7.04,89.3,31.4,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
7,60,25,28.28,88,5.71,82.76,29.16,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
2,47,15,27.87,82,7.07,85.99,31.66,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
20,45,22,25.59,95,5.51,89.99,30.83,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
2,39,15,27.07,98,7.12,82.91,27.48,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
27,40,24,27.84,99,7.17,90,29.51,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
35,48,15,27.11,97,5.73,87.45,31.96,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
4,59,25,27.69,88,6.53,81.94,29.33,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
1,48,24,26.35,89,5.62,85.6,26.79,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
36,43,21,26.36,91,5.89,84.86,26.38,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
11,46,24,27.65,93,7.14,89.81,31.65,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
34,47,19,27.31,94,7.17,85.45,27.68,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
21,44,18,27.07,90,7.16,86.9,30.82,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
17,58,20,26.07,91,7.13,85.92,31.68,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
25,40,21,27.73,94,6.32,81.14,26.28,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
2,38,18,27.54,68,5.75,89.93,29.47,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
9,48,20,29.66,67,7.13,84.28,26.26,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
37,49,25,26.91,98,5.57,85.85,30.72,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
36,38,15,28.36,89,5.82,87.6,32.63,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
40,58,15,27.46,99,7.2,87.61,31.31,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
30,44,16,27.73,92,5.54,82.89,29.64,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
1,59,23,27.47,95,5.89,87.18,29.62,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
9,48,22,27.77,96,5.71,87.1,29.49,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
14,41,17,27.13,98,6.29,88.48,29.02,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
35,52,19,27.11,93,6.22,89.9,26.68,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
31,48,17,26.88,97,7.16,86.94,27.61,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
4,41,20,27.15,92,7.15,83.8,27.17,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
30,37,25,25.89,93,7.17,80.14,32.35,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
9,35,20,27.42,98,7.04,80.98,26.27,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
20,41,20,25.97,92,6.3,89.49,28.44,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
37,50,23,25.95,94,6.84,88.49,29.54,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
34,35,21,28.45,93,7.19,82.68,31.79,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
14,37,15,27.96,95,7.14,83.98,32.1,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
23,39,22,27.26,99,6.04,81.98,32.65,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
5,45,21,27.36,99,5.86,88.01,26.41,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
22,37,20,27.63,99,6.37,86.49,30.66,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
40,51,17,26.66,98,5.64,86.12,31.44,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
27,56,20,27.21,97,6.66,87.11,26.23,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
31,40,22,27.41,99,5.59,86.16,28.49,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
38,36,21,27.03,93,6.57,84.88,27.67,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
6,37,17,27.09,94,6.17,80.35,31.45,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
6,47,18,26.16,96,6.82,80.28,31.37,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
24,44,17,26.86,97,7.16,80.03,28.64,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
25,59,19,26.07,92,5.83,83.69,26.97,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
32,56,21,27.39,96,6.98,88.67,30.24,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
8,45,18,27.93,98,7.57,85.42,28.08,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
